ply_file,plane_id,normal_x,normal_y,normal_z,distance,inlier_count,inlier_ratio,rmse,distance_threshold
a127.ply,0,0.0,0.0,0.9999,0.93,1967894,0.1923336637128632,0.03435448609128977,0.14137826464235043
a127.ply,1,0.0,0.0,0.9999,-2.2,1734147,0.16948821731590757,0.03809783783660783,0.14137826464235043
a127.ply,2,0.79,0.61,0.0,4.26,689361,0.06737523807215383,0.06704489069890229,0.14137826464235043
a127.ply,3,0.79,0.61,0.0,12.03,612837,0.05989610490646343,0.07320341859333787,0.14137826464235043
a127.ply,4,-0.61,0.79,0.0,-9.66,1313086,0.12833549019920215,0.05364258319412384,0.14137826464235043
a127.ply,5,-0.61,0.79,0.0,-14.74,1020311,0.09972089592047904,0.04359000640789768,0.14137826464235043
