ply_file,plane_id,normal_x,normal_y,normal_z,distance,inlier_count,inlier_ratio,rmse,score,distance_threshold
a127.ply,0,-0.0004,0.0004,0.9999,0.9259,1728135,0.16890062978007397,0.01113532184739863,0.5010253274074784,0.03
a127.ply,1,-0.0023,-0.0025,0.9999,-2.1988,1007528,0.0984715393884496,0.016890050460447777,0.45860505525625317,0.03
a127.ply,2,-0.0004,0.0009,0.9999,-1.8666,426508,0.04168509393435107,0.01275556012167258,0.42465016467322314,0.03
a127.ply,3,0.0308,0.0021,0.9995,0.645,296829,0.029010815148694732,0.01638796604937532,0.41694282613251465,0.03
a127.ply,4,-0.6141,0.7892,-0.0009,-9.662,1026977,0.1003724026593125,0.013172233497358913,0.45985076101330197,0.03
a127.ply,5,-0.6131,0.7898,-0.0175,-14.7409,645927,0.06313018201237394,0.01692781858709212,0.4373991722610722,0.03
